"id" "reference_number" "species_number" "record" "passive_methods" "complementary_methods" "month_start" "year_start" "month_finish" "year_finish" "effort_months" "country" "state" "state_abbreviation" "municipality" "latitude" "longitude" "coordinate_precision" "altitude" "temperature" "precipitation"
"1" "amp1001" 1001 19 "ab" "pt" NA 9 2000 1 2002 16 "Brazil" "Piauí" "BR-PI" "Canto do Buriti" -8.68 -43.42194444 "gm" 543 24.98 853
"2" "amp1002" 1002 16 "co" "pt" NA 12 2007 5 2009 17 "Brazil" "Ceará" "BR-CE" "São Gonçalo do Amarante" -3.545527 -38.857833 "dd" 15 26.53 1318
"3" "amp1003" 1002 14 "co" "pt" NA 12 2007 5 2009 17 "Brazil" "Ceará" "BR-CE" "São Gonçalo do Amarante" -3.574194 -38.888694 "dd" 29 26.45 1248
"4" "amp1004" 1002 13 "co" "pt" NA 12 2007 5 2009 17 "Brazil" "Ceará" "BR-CE" "São Gonçalo do Amarante" -3.51525 -38.918805 "dd" 25 26.55 1376
"5" "amp1005" 1003 30 "co" NA NA 7 1988 8 2001 157 "Brazil" "Ceará" "BR-CE" "Baturité" -4.280555556 -38.91083333 "gm" 750 21.35 1689
"6" "amp1006" 1004 42 "co" NA NA NA NA NA NA NA "Brazil" "Ceará" "BR-CE" "Quebrangulo" -9.229166667 -36.42805556 NA 745 20.45 1249
"7" "amp1007" 1005 23 "co" NA NA 4 2007 4 2009 24 "Brazil" "Ceará" "BR-CE" "Ubajara" -3.846111111 -40.89444444 "gms" 863 21.57 1520
"8" "amp1008" 1005 19 "co" NA NA 4 2007 4 2009 24 "Brazil" "Ceará" "BR-CE" "Ubajara" -3.825833333 -40.91944444 "gms" 878 21.47 1474
"9" "amp1009" 1005 13 "ab" "pt" NA 4 2007 4 2009 24 "Brazil" "Ceará" "BR-CE" "Ubajara" -3.8375 -40.91027778 "gms" 826 21.76 1450
"10" "amp1010" 1006 1 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "São José de Mipibu" -6.136944444 -35.22944444 NA 93 25.4 1332
"11" "amp1011" 1006 1 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Arês" -6.173888889 -35.22027778 NA 35 25.78 1331
"12" "amp1012" 1006 2 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Arês" -6.185833333 -35.19944444 NA 69 25.59 1352
"13" "amp1013" 1006 4 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Arês" -6.212222222 -35.21027778 NA 93 25.42 1327
"14" "amp1014" 1006 4 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Espírito Santo" -6.234166667 -35.3125 NA 130 25.14 1133
"15" "amp1015" 1006 6 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Espírito Santo" -6.261666667 -35.29194444 NA 69 25.57 1147
"16" "amp1016" 1006 5 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.248333333 -35.25694444 NA 93 25.41 1223
"17" "amp1017" 1006 8 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.256944444 -35.17222222 NA 59 25.69 1349
"18" "amp1018" 1006 2 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.271944444 -35.17027778 NA 58 25.7 1356
"19" "amp1019" 1006 5 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Tibau do Sul" -6.253333333 -35.14 NA 38 25.84 1421
"20" "amp1020" 1006 1 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.340833333 -35.21416667 NA 122 25.25 1274
"21" "amp1021" 1006 2 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.349722222 -35.21555556 NA 117 25.28 1276
"22" "amp1022" 1006 2 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Goianinha" -6.3425 -35.19194444 NA 100 25.4 1314
"23" "amp1023" 1006 1 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Canguaretama" -6.370277778 -35.20388889 NA 111 25.34 1298
"24" "amp1024" 1006 2 "ab" "pt" NA 5 2011 7 2011 2 "Brazil" "Rio Grande do Norte" "BR-RN" "Canguaretama" -6.392777778 -35.18388889 NA 57 25.72 1335
